s,x,y,z
0,431503.263849712,7748935.90919019,79.01
0.25,431503.436233142,7748935.72812679,79.01
0.5,431503.608616571,7748935.5470634,79.01
0.75,431503.781,7748935.366,79.01
1,431503.953383429,7748935.1849366,79.01
1.25,431504.125766858,7748935.00387321,79.03
1.5,431504.298150288,7748934.82280981,79.0733333333333
1.75,431504.470533717,7748934.64174642,79.1166666666667
2,431504.642917146,7748934.46068302,79.16
2.25,431504.815300575,7748934.27961962,79.165
2.5,431504.987684004,7748934.09855623,79.17
2.75,431505.160067433,7748933.91749283,79.17
3,431505.332450863,7748933.73642944,79.13
3.25,431505.504834292,7748933.55536604,79.09
3.5,431505.677217721,7748933.37430265,79.035
3.75,431505.84960115,7748933.19323925,78.98
4,431506.021984579,7748933.01217585,78.97
4.25,431506.194368009,7748932.83111246,79.03
4.5,431506.366751438,7748932.65004906,79.09
4.75,431506.539134867,7748932.46898567,79.12
5,431506.711518296,7748932.28792227,79.118
5.25,431506.883901725,7748932.10685887,79.116
5.5,431507.056285155,7748931.92579548,79.114
5.75,431507.228668584,7748931.74473208,79.112
6,431507.401052013,7748931.56366869,79.11
6.25,431507.573435442,7748931.38260529,79.08
6.5,431507.745818871,7748931.20154189,79.07
6.75,431507.918202301,7748931.0204785,79.0661538461538
7,431508.09058573,7748930.8394151,79.0623076923077
7.25,431508.262969159,7748930.65835171,79.0584615384615
7.5,431508.435352588,7748930.47728831,79.0546153846154
7.75,431508.607736017,7748930.29622491,79.0507692307692
8,431508.780119446,7748930.11516152,79.0469230769231
8.25,431508.952502876,7748929.93409812,79.0430769230769
8.5,431509.124886305,7748929.75303473,79.0392307692308
8.75,431509.297269734,7748929.57197133,79.0353846153846
9,431509.469653163,7748929.39090793,79.0315384615385
9.25,431509.642036592,7748929.20984454,79.0276923076923
9.5,431509.814420022,7748929.02878114,79.0238461538462
9.75,431509.986803451,7748928.84771775,79.02
10,431510.15918688,7748928.66665435,79.0242857142857
10.25,431510.331570309,7748928.48559096,79.0285714285714
10.5,431510.503953738,7748928.30452756,79.0328571428571
10.75,431510.676337168,7748928.12346416,79.0371428571429
11,431510.848720597,7748927.94240077,79.0414285714286
11.25,431511.021104026,7748927.76133737,79.0457142857143
11.5,431511.193487455,7748927.58027398,79.05
11.75,431511.365870884,7748927.39921058,79.055
12,431511.538254313,7748927.21814718,79.06
12.25,431511.710637743,7748927.03708379,79.066
12.5,431511.883021172,7748926.85602039,79.072
12.75,431512.055404601,7748926.674957,79.078
13,431512.22778803,7748926.4938936,79.084
13.25,431512.400171459,7748926.3128302,79.09
13.5,431512.572554889,7748926.13176681,79.0925
13.75,431512.744938318,7748925.95070341,79.095
14,431512.917321747,7748925.76964002,79.0975
14.25,431513.089705176,7748925.58857662,79.1
14.5,431513.262088605,7748925.40751322,79.106
14.75,431513.434472035,7748925.22644983,79.112
15,431513.606855464,7748925.04538643,79.118
15.25,431513.779238893,7748924.86432304,79.124
15.5,431513.951622322,7748924.68325964,79.13
15.75,431514.124005751,7748924.50219624,79.135
16,431514.29638918,7748924.32113285,79.14
16.25,431514.46877261,7748924.14006945,79.1633333333333
16.5,431514.641156039,7748923.95900606,79.1866666666667
16.75,431514.813539468,7748923.77794266,79.21
17,431514.985922897,7748923.59687927,79.205
17.25,431515.158306326,7748923.41581587,79.2
17.5,431515.330689756,7748923.23475247,79.195
17.75,431515.503073185,7748923.05368908,79.19
18,431515.675456614,7748922.87262568,79.155
18.25,431515.847840043,7748922.69156229,79.12
18.5,431516.020223472,7748922.51049889,79.08
18.75,431516.192606901,7748922.32943549,79.084
19,431516.364990331,7748922.1483721,79.088
19.25,431516.53737376,7748921.9673087,79.092
19.5,431516.709757189,7748921.78624531,79.096
19.75,431516.882140618,7748921.60518191,79.1
